Position_Title,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7
Technology Student Assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct
technology student assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct
Technology Student Assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct.
Technology Student Assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct.
Academic Mentor,Public Relations,Helping/Serving others,Assertive,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Federal work student,Public Relations,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Federal work student,Public Relations,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Student Assistant,Events/Promotions,Public Relations,Excel,MS Word,Powerpoint,Helping/Serving others,Spanish
Student Assistant,Events/Promotions,Public Relations,Excel,MS Word,Powerpoint,Helping/Serving others,Spanish
Video Assistant,Video Production,Events/Promotions,Public Relations,Helping/Serving others,Attentive to detail,Communication (Written),Conveying Understanding
Video Assistant,Video Production,Events/Promotions,Public Relations,Helping/Serving others,Attentive to detail,Communication (Written),Conveying Understanding
video assistant,Video Production,Events/Promotions,Public Relations,Helping/Serving others,Attentive to detail,Communication (Written),Conveying Understanding
video assistant,Video Production,Events/Promotions,Public Relations,Helping/Serving others,Attentive to detail,Communication (Written),Conveying Understanding
Graduate Audio Visual Technician,Video Production,Events/Promotions,Public Relations,Excel,MS Word,Helping/Serving others,Artistic
Graduate Audio Visual Technician,Video Production,Events/Promotions,Public Relations,Excel,MS Word,Helping/Serving others,Artistic
Banquet Server,Food preparation,Helping/Serving others,Waiter/Waitress,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Written)
Student Assistant,Excel,Powerpoint,Time Management,Reception/Customer Serv,Telephone skills,,
Assistant to the Artistic Director,Events/Promotions,Record keeping,Excel,MS Word,PhotoShop,Attentive to detail,Classifying/Organizing
help desk,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
help desk,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Helpdesk Tech,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Helpdesk Tech,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Helpdesk Tech,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Helpdesk Tech,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Early Childhood Classroom Assistant,Teaching,Working with children,,,,,
3D shop assistant,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative,Independent,Organized,Resourceful
Communications Assistant,Microsoft Office Skills,,,,,,
Development Intern,Classifying/Organizing,Communication (Oral),Communication (Written),Cooperative,Copying/Collating,Email/Internet,Filing
Reception Front Desk,Public Relations,Attentive to detail,Communication (Oral),Communication (Visual),Communication (Written),Conveying Understanding,Cooperative
Academic Tutor,Mentoring/Peer Counsel,Sociable,Problem Solving,Planning/Arranging,Motivating Others,Analytical Skills,Tutoring
Student Fundraiser,Fundraising,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
student fundraiser,Fundraising,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Academic Tutor,Mentoring/Peer Counsel,Sociable,Problem Solving,Planning/Arranging,Motivating Others,Analytical Skills,Tutoring
Assessor,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Graphic Designer,Graphics/Design,Layout/Paste-up,Photography,Video Production,Advertising,Marketing,Public Relations
Graphic Designer,Graphics/Design,Layout/Paste-up,Photography,Video Production,Advertising,Marketing,Public Relations
